person,start,end,lastmod
Q1040279,1937-06-08,1937-06-24,2022-12-01T20:44:30Z
Q12013388,2007-06-12,2013-05-14,2022-11-30T20:36:44Z
Q13135962,1916-09-19,1922-01-05,2022-11-25T16:27:07Z
Q13637589,2007-06-12,2019-06-11,2023-01-04T19:21:33Z
Q13648923,1973-09-25,1981-06-10,2022-11-25T12:48:53Z
Q13724705,2015-06-09,2019-03-01,2022-12-01T07:43:57Z
Q13725157,1937-06-08,1940-05-10,2022-11-18T13:39:45Z
Q13776902,1922-07-25,1928-05-02,2022-11-25T16:31:03Z
Q14520235,2011-06-07,2017-10-25,2023-01-17T02:58:52Z
Q15555019,1972-05-16,1977-09-20,2022-05-05T19:20:47Z
Q15943571,1815-10-17,1840-12-13,2022-11-25T16:18:54Z
Q16070256,1862-09-16,1864-02-14,2022-10-15T06:05:10Z
Q1849002,1918-02-19,1919-06-20,2022-10-07T09:54:02Z
Q1882752,1867-09-18,1895-06-04,2023-01-11T10:22:18Z
Q1887904,1818-12-21,1824-07-20,2023-01-05T16:03:49Z
Q1888770,2003-06-10,2003-09-08,2022-11-25T12:37:26Z
Q1888989,1913-11-25,1922-07-24,2022-05-08T13:26:00Z
Q1916958,2015-06-09,2016-12-01,2022-11-30T23:21:47Z
Q1919932,1956-11-06,1959-09-23,2022-05-05T16:45:09Z
Q1944000,1995-06-13,1999-06-08,2022-05-05T19:31:22Z
Q1950893,1848-10-09,1849-02-13,2022-11-25T15:52:20Z
Q19578086,1914-10-13,1923-09-18,2023-01-09T21:26:39Z
Q19801929,1900-02-01,1904-07-23,2022-07-28T16:24:36Z
Q19801934,1952-07-15,1963-06-05,2022-10-14T16:56:27Z
Q19802044,2015-06-09,2019-06-11,2022-12-01T21:39:50Z
Q19802057,1923-04-13,1923-09-18,2022-10-14T16:56:49Z
Q19802057,1925-01-20,1932-09-20,2022-10-14T16:56:49Z
Q19802057,1932-11-02,1946-07-23,2022-10-14T16:56:49Z
Q20017709,1929-09-17,1931-07-12,2022-09-11T23:58:12Z
Q20017715,1987-06-23,1991-06-11,2022-10-14T16:22:08Z
Q2049705,1923-09-18,1941-04-16,2022-11-25T12:44:59Z
Q2061839,1983-09-13,1995-06-13,2022-09-04T16:00:49Z
Q2063173,1981-06-10,1991-06-11,2022-11-25T12:44:49Z
Q2070384,1897-04-05,1899-11-08,2022-09-10T23:25:08Z
Q20734829,1816-02-08,1821-05-24,2022-10-14T22:49:02Z
Q20734838,1873-11-18,1882-09-30,2022-10-14T22:54:11Z
Q20734849,1935-09-17,1963-06-05,2022-12-01T20:43:09Z
Q20734850,1849-01-11,1850-08-20,2022-10-06T19:44:28Z
Q20734850,1849-02-13,1850-08-20,2022-10-06T19:44:28Z
Q20734864,1956-11-06,1958-08-15,2022-10-14T22:49:03Z
Q20734865,1940-02-06,1956-11-06,2022-10-14T22:49:03Z
Q20734871,1946-07-23,1963-06-05,2022-11-25T16:44:14Z
Q20734873,1955-09-20,1971-05-10,2022-11-25T16:44:15Z
Q20734898,1948-07-27,1956-07-03,2022-11-25T12:57:09Z
Q20734898,1948-07-27,1963-06-05,2022-11-25T12:57:09Z
Q20734898,1956-07-31,1963-06-05,2022-11-25T12:57:09Z
Q20734913,1971-05-25,1974-09-17,2022-06-09T00:02:34Z
Q20734916,1937-11-02,1952-07-15,2023-01-13T14:54:48Z
Q20734929,1816-02-08,1833-03-25,2022-12-28T05:25:50Z
Q2075652,1963-06-05,1967-02-21,2023-01-06T23:30:55Z
Q2075811,1981-08-25,1991-06-11,2022-12-21T19:52:21Z
Q20856149,1952-07-15,1956-07-03,2023-01-02T01:27:05Z
Q20856149,1956-11-06,1957-12-12,2023-01-02T01:27:05Z
Q20856159,1965-05-25,1969-09-16,2022-10-14T23:29:12Z
Q20856160,1891-01-26,1904-07-23,2022-11-25T12:57:14Z
Q20856167,1922-07-25,1923-06-30,2022-12-01T20:46:12Z
Q20856175,1821-11-14,1830-10-18,2022-10-14T23:33:11Z
Q20856179,1865-05-18,1880-09-19,2022-10-14T23:33:12Z
Q20856183,1956-11-06,1968-09-01,2022-11-25T16:46:17Z
Q20856194,1922-09-19,1928-02-14,2022-12-01T20:50:36Z
Q20857310,1862-12-08,1884-10-11,2022-11-25T16:47:19Z
Q20857326,1831-10-18,1838-01-02,2022-10-07T17:30:38Z
Q20857330,1946-07-23,1963-01-11,2022-11-25T12:57:20Z
Q20857346,1966-12-27,1967-04-10,2022-10-14T16:54:20Z
Q20857359,1981-06-10,1995-06-13,2022-12-08T09:05:51Z
Q20857359,1998-02-27,1999-06-08,2022-12-08T09:05:51Z
Q20857362,1958-03-04,1980-07-19,2022-05-05T19:34:55Z
Q20857363,1951-09-18,1955-12-28,2022-10-25T15:17:36Z
Q20857370,1909-02-01,1926-02-23,2022-11-25T16:49:45Z
Q20857370,1909-03-19,1926-02-23,2022-11-25T16:49:45Z
Q20857372,1992-11-17,1999-06-08,2022-12-01T20:22:17Z
Q20857376,1815-09-21,1830-10-18,2022-10-14T16:55:18Z
Q20857377,1983-09-13,1995-06-13,2022-11-25T12:57:18Z
Q20857392,1907-09-17,1914-08-27,2022-11-25T16:46:15Z
Q20857402,1980-09-16,1999-06-08,2022-07-12T09:11:47Z
Q20857407,1969-09-16,1971-05-10,2022-10-14T16:56:07Z
Q20859190,1871-09-19,1880-06-08,2022-11-25T16:45:18Z
Q20859190,1892-03-29,1899-09-19,2022-11-25T16:45:18Z
Q20859191,1946-07-23,1952-11-10,2022-11-25T16:45:23Z
Q20859224,1864-04-14,1879-06-06,2022-10-14T16:56:14Z
Q2096732,1974-09-17,1977-09-28,2022-11-25T12:28:10Z
Q2112391,1849-01-01,1880-01-01,2022-11-25T15:36:49Z
Q2115049,1958-03-18,1969-09-16,2022-05-06T10:14:20Z
Q2120050,2007-06-12,2011-06-07,2023-01-04T19:19:59Z
Q2120426,1960-09-20,1972-05-10,2022-11-25T12:28:08Z
Q2128852,1815-09-21,1826-07-10,2023-01-13T09:00:33Z
Q2137702,1824-10-19,1830-10-18,2023-01-06T01:39:10Z
Q2201325,1930-07-29,1941-10-12,2022-12-01T20:45:07Z
Q2251133,1917-11-27,1922-07-24,2023-01-11T20:34:05Z
Q2304865,1999-06-08,2003-09-22,2022-11-25T12:38:33Z
Q2325196,1894-09-18,1901-03-15,2022-10-14T15:42:42Z
Q2343209,1987-06-23,1995-06-13,2022-07-27T18:13:52Z
Q2348223,2015-06-09,2019-06-11,2023-01-04T18:40:43Z
Q2364274,1958-09-09,1969-09-16,2022-05-05T16:43:45Z
Q2469501,1831-12-14,1841-07-27,2022-11-25T15:59:36Z
Q2474818,1923-09-18,1929-09-17,2022-10-02T01:50:29Z
Q2500363,1968-09-17,1977-01-01,2022-05-05T16:57:25Z
Q2531338,1956-07-31,1971-05-10,2022-05-06T10:22:28Z
Q2532470,1822-12-24,1848-10-02,2022-11-25T16:00:35Z
Q2533417,1991-06-11,1992-11-01,2022-12-21T19:01:48Z
Q2534893,1922-07-25,1923-09-18,2022-10-09T16:23:37Z
Q2544179,2011-06-07,2015-06-09,2022-12-01T07:43:08Z
Q2544179,2015-11-10,2016-07-12,2022-12-01T07:43:08Z
Q2552010,1948-07-27,1966-09-20,2022-11-25T12:44:53Z
Q2553131,2007-06-12,2011-06-07,2023-01-04T16:15:00Z
Q2580847,1995-01-10,2011-06-07,2022-05-05T16:51:26Z
Q2589330,1980-09-16,1983-04-01,2023-01-04T18:27:56Z
Q2591556,1946-07-23,1952-07-15,2022-10-05T12:05:18Z
Q2661058,1922-07-25,1923-09-18,2022-11-25T12:32:16Z
Q2684102,1849-02-14,1850-08-20,2022-11-25T15:48:10Z
Q2684102,1850-10-07,1851-04-11,2022-11-25T15:48:10Z
Q2684102,1851-06-10,1856-04-29,2022-11-25T15:48:10Z
Q2684102,1856-09-15,1861-04-29,2022-11-25T15:48:10Z
Q2684102,1861-05-22,1866-04-29,2022-11-25T15:48:10Z
Q2684102,1866-06-05,1871-04-20,2022-11-25T15:48:10Z
Q2684102,1871-06-05,1875-01-18,2022-11-25T15:48:10Z
Q2684477,2003-06-10,2007-06-12,2023-01-04T18:38:56Z
Q2709577,1969-09-16,1971-05-10,2022-11-25T12:33:25Z
Q2721875,1981-06-10,1991-06-11,2022-12-21T19:34:07Z
Q2728941,1816-07-16,1831-10-04,2022-12-11T07:59:42Z
Q2745527,1849-02-13,1850-08-20,2023-01-12T08:35:05Z
Q27631315,1948-07-27,1955-09-22,2022-10-09T02:53:11Z
Q27646655,1956-11-06,1963-06-05,2022-09-11T03:02:28Z
Q2781202,1956-11-06,1969-06-25,2022-05-05T16:33:54Z
Q279265,1980-09-16,1981-01-06,2022-11-30T23:18:47Z
Q2795163,1917-08-28,1925-09-16,2022-12-09T14:01:58Z
Q2839579,1842-10-21,1849-02-13,2023-01-13T13:19:09Z
Q2883318,1976-02-24,1980-09-16,2022-11-26T03:35:40Z
Q2973445,1937-06-08,1945-09-14,2022-10-01T13:29:09Z
Q3020771,1991-06-11,2003-06-10,2022-11-29T22:48:01Z
Q3180242,1935-12-18,1937-06-08,2022-05-06T10:37:02Z
Q3190314,1945-11-20,1946-07-23,2022-11-25T12:36:29Z
Q3248106,1966-09-20,1977-12-19,2022-12-21T19:37:19Z
Q3248106,1981-06-30,1983-09-13,2022-12-21T19:37:19Z
Q3501388,1995-06-13,2003-06-10,2022-12-21T17:58:15Z
Q3921443,1910-11-24,1913-09-16,2022-03-15T13:34:46Z
Q3921443,1915-04-13,1922-07-24,2022-03-15T13:34:46Z
Q4294863,1959-10-27,1960-09-20,2023-01-14T11:52:01Z
Q4355604,1977-09-20,1983-09-13,2022-05-05T18:06:29Z
Q5364345,2003-06-10,2015-06-09,2022-12-01T07:43:18Z
Q5466641,1890-11-27,1904-07-23,2022-04-09T21:45:37Z
Q5466641,1904-09-20,1913-09-16,2022-04-09T21:45:37Z
Q607189,1999-06-08,2007-06-02,2022-12-01T20:32:32Z
Q607189,1999-06-08,2007-06-12,2022-12-01T20:32:32Z
Q649721,1880-09-21,1884-10-11,2022-03-14T21:04:03Z
Q649721,1884-11-17,1887-08-17,2022-03-14T21:04:03Z
Q649721,1887-09-19,1902-03-03,2022-03-14T21:04:03Z
Q67210071,2019-09-10,2019-11-13,2022-12-01T06:59:07Z
Q68593720,1923-01-01,1927-01-01,2022-09-24T17:35:06Z
