person,start,end,lastmod
Q1040279,1937-06-08,1937-06-24,2023-02-18T21:50:13Z
Q104369381,2020-12-15,2021-02-15,2023-02-21T21:06:38Z
Q108894465,2021-09-28,2022-02-02,2023-02-20T15:32:07Z
Q11292846,1815-09-21,1822-03-24,2022-10-07T14:32:48Z
Q11307445,1815-09-21,1825-02-17,2022-05-12T01:41:39Z
Q1174716,1839-10-22,1848-10-02,2023-02-08T08:14:40Z
Q11816036,1929-09-17,1937-06-08,2023-02-19T00:35:21Z
Q12013207,1971-05-11,1977-09-20,2023-02-19T05:16:32Z
Q12013388,2007-06-12,2013-05-14,2022-11-30T20:36:44Z
Q12013494,2007-06-12,2014-07-02,2023-02-19T05:16:52Z
Q12500218,1945-11-20,1946-07-23,2023-01-02T21:27:13Z
Q13135866,1815-09-26,1836-04-04,2022-09-11T11:00:42Z
Q13135962,1916-09-19,1922-01-05,2023-02-03T17:31:44Z
Q13136434,1922-01-31,1922-07-24,2023-02-03T17:32:46Z
Q13137052,1962-01-23,1975-09-01,2023-02-19T05:25:13Z
Q13137458,1937-06-08,1946-07-24,2023-02-03T17:32:49Z
Q13137470,1937-06-08,1946-07-23,2022-10-09T06:29:28Z
Q13137685,1928-06-12,1965-02-09,2023-02-19T05:25:33Z
Q13138352,1850-10-07,1865-09-18,2022-10-07T05:31:51Z
Q13428403,1977-09-20,1995-06-13,2023-02-03T17:33:39Z
Q13428921,1878-09-17,1884-10-11,2022-10-07T09:21:25Z
Q13428921,1884-11-17,1887-08-17,2022-10-07T09:21:25Z
Q13428921,1887-09-19,1888-03-27,2022-10-07T09:21:25Z
Q13428921,1888-05-01,1895-10-24,2022-10-07T09:21:25Z
Q13428938,1935-09-18,1946-07-23,2023-02-03T17:33:40Z
Q13435474,1982-09-21,1987-06-23,2023-02-19T05:27:13Z
Q13487753,2013-06-18,2015-06-09,2023-02-19T05:27:43Z
Q13495690,1905-12-06,1906-11-01,2023-02-03T17:32:37Z
Q13495690,1906-12-05,1914-07-24,2023-02-03T17:32:37Z
Q13497607,1875-09-21,1882-12-06,2022-05-06T08:48:06Z
Q13567236,1850-10-07,1856-03-26,2022-05-06T09:03:31Z
Q13573733,1971-05-11,1977-09-20,2023-02-19T05:29:03Z
Q13576313,1991-06-11,1999-06-08,2023-02-19T05:29:13Z
Q1358714,1995-06-13,2000-11-01,2023-02-20T11:48:21Z
Q13637589,2007-06-12,2019-06-11,2023-02-20T16:37:42Z
Q13641749,2019-06-11,2021-01-15,2023-02-20T16:38:24Z
Q13641835,1895-11-28,1903-06-17,2022-07-28T19:19:58Z
Q13648923,1973-09-25,1981-06-10,2023-02-19T05:30:23Z
Q13653571,2004-09-28,2015-06-09,2023-02-19T05:30:33Z
Q13724705,2015-06-09,2019-03-01,2022-12-01T07:43:57Z
Q13725157,1937-06-08,1940-05-10,2023-02-24T00:28:05Z
Q13726662,1954-11-23,1957-05-16,2023-02-26T06:43:30Z
Q13737786,1844-06-20,1849-02-13,2022-10-06T19:45:18Z
Q13771642,1925-09-16,1937-06-08,2023-02-03T17:33:50Z
Q13776902,1922-07-25,1928-05-02,2023-02-03T17:33:51Z
Q13815606,2011-06-07,2015-06-09,2023-02-19T05:31:53Z
Q13815743,1853-06-15,1859-09-19,2022-10-05T09:59:16Z
Q13875096,1853-12-02,1871-09-18,2022-10-15T04:05:06Z
Q13895784,1993-09-07,2007-06-12,2023-02-19T05:32:13Z
Q1390646,1815-09-21,1830-10-18,2022-12-21T06:50:56Z
Q1397450,1999-06-08,2003-06-10,2023-02-02T17:46:12Z
Q1404648,1911-09-19,1921-07-29,2023-02-18T22:23:35Z
Q14255141,1951-09-18,1963-06-05,2023-01-02T10:29:13Z
Q14292566,1977-09-20,1982-01-16,2023-02-19T05:34:43Z
Q14517527,1904-09-20,1916-11-06,2023-02-03T17:34:42Z
Q14517527,1904-09-21,1916-11-06,2023-02-03T17:34:42Z
Q14519531,1948-08-25,1956-11-06,2022-07-23T10:39:50Z
Q14519538,1825-10-18,1838-08-13,2023-02-19T05:36:13Z
Q14520235,2011-06-07,2017-10-25,2023-02-21T22:17:40Z
Q1452565,2003-06-10,2015-06-09,2023-02-18T22:27:25Z
Q14630631,1922-09-19,1923-09-18,2023-02-27T10:41:57Z
Q14632486,1916-12-13,1919-09-16,2023-02-03T17:37:55Z
Q14632486,1922-07-25,1934-02-07,2023-02-03T17:37:55Z
Q14633019,1980-09-16,1981-06-10,2023-02-19T05:37:43Z
Q1465250,1999-06-08,2003-06-10,2023-02-18T22:28:55Z
Q14752360,1960-09-20,1967-02-10,2022-05-07T00:08:13Z
Q14851879,1824-10-19,1830-10-18,2022-10-15T04:12:35Z
Q14851959,1831-10-18,1845-01-06,2023-02-03T17:35:41Z
Q14856982,1845-11-04,1849-02-13,2022-10-08T06:05:49Z
Q14856987,1815-09-21,1830-02-05,2022-10-15T04:12:38Z
Q1488358,2003-06-10,2013-02-05,2023-02-18T22:30:05Z
Q14906465,1894-06-05,1904-01-01,2022-05-06T13:44:21Z
Q14906465,1894-06-05,1904-07-23,2022-05-06T13:44:21Z
Q14906465,1894-07-05,1904-01-01,2022-05-06T13:44:21Z
Q14906465,1894-07-05,1904-07-23,2022-05-06T13:44:21Z
Q1494960,1977-09-20,1980-05-16,2023-02-18T22:30:55Z
Q1496632,1827-05-07,1836-12-19,2022-09-11T06:14:03Z
Q15409974,1991-11-05,1995-06-13,2023-02-19T05:42:23Z
Q1541357,1901-05-01,1904-07-23,2022-05-06T10:29:15Z
Q1541357,1901-06-18,1904-07-23,2022-05-06T10:29:15Z
Q15429477,1999-06-08,2000-07-15,2023-02-19T03:10:56Z
Q15555019,1972-05-16,1977-09-20,2023-02-19T05:43:13Z
Q15733509,1966-02-08,1967-03-02,2022-04-11T13:33:25Z
Q15733509,1969-12-09,1987-06-23,2022-04-11T13:33:25Z
Q15869374,1856-10-30,1862-09-15,2023-02-03T17:39:02Z
Q15872701,1848-10-09,1850-08-20,2022-11-25T16:25:17Z
Q15876808,1821-07-03,1848-05-23,2022-10-15T05:00:16Z
Q15876863,1850-10-07,1864-06-18,2022-11-25T16:25:12Z
Q15876882,1840-10-20,1841-12-04,2022-11-25T16:24:11Z
Q15877024,1922-07-25,1935-09-17,2023-02-03T17:39:51Z
Q15877761,1956-11-06,1960-09-20,2023-02-19T05:49:24Z
Q15879185,1946-07-23,1969-09-16,2022-11-25T12:52:14Z
Q15879217,1919-09-17,1937-06-08,2022-04-05T10:56:23Z
Q15880659,1904-09-20,1910-09-20,2022-05-06T08:53:06Z
Q15880659,1904-09-21,1910-09-20,2022-05-06T08:53:06Z
Q15882930,1835-10-20,1844-02-20,2022-11-25T12:52:11Z
Q15882937,1956-11-06,1963-06-05,2023-02-03T17:41:06Z
Q15884002,1888-05-01,1902-12-23,2023-02-03T17:43:04Z
Q15884002,1888-05-02,1902-12-23,2023-02-03T17:43:04Z
Q15885399,1831-12-27,1833-06-17,2022-09-11T23:04:37Z
Q15906824,1843-02-01,1844-03-26,2022-10-15T04:57:28Z
Q15943571,1815-10-17,1840-12-13,2023-02-24T00:33:14Z
Q16011468,1822-10-31,1830-10-20,2022-10-15T06:00:09Z
Q16070256,1862-09-16,1864-02-14,2022-10-15T06:05:10Z
Q16186651,1816-02-08,1830-10-18,2023-01-29T19:35:51Z
Q1656969,1974-09-17,1979-09-17,2023-01-06T23:40:32Z
Q1675801,1960-09-20,1965-04-14,2023-02-18T22:43:46Z
Q1677559,1999-06-08,2004-09-07,2023-02-18T22:44:36Z
Q1681931,1870-12-22,1872-02-17,2022-11-11T03:29:23Z
Q1682076,1977-09-20,1983-09-13,2023-02-20T17:24:13Z
Q1682076,2011-06-07,2019-06-11,2023-02-20T17:24:13Z
Q1682178,1922-07-25,1926-03-08,2023-01-24T21:22:38Z
Q1690781,1887-05-23,1887-08-17,2022-05-08T13:22:05Z
Q1690781,1887-09-19,1888-03-27,2022-05-08T13:22:05Z
Q1690781,1898-03-28,1901-08-18,2022-05-08T13:22:05Z
Q1690781,1910-01-31,1912-02-02,2022-05-08T13:22:05Z
Q1692109,1958-12-23,1963-06-05,2023-02-20T17:30:13Z
Q1692109,1971-06-08,1973-09-01,2023-02-20T17:30:13Z
Q17106398,2016-10-04,2019-06-11,2023-02-20T17:33:28Z
Q17308801,1911-05-16,1923-03-09,2022-10-12T15:30:26Z
Q17351500,1963-06-05,1969-09-16,2023-02-25T20:10:18Z
Q17427994,2014-07-08,2017-03-23,2022-11-30T21:38:18Z
Q17561020,1908-03-27,1932-06-22,2023-02-03T18:27:09Z
Q18002703,1988-11-22,1995-01-01,2022-07-31T08:46:31Z
Q1807307,1974-09-17,1987-06-23,2022-09-25T01:27:30Z
Q18093577,1969-09-16,1971-05-10,2023-02-19T06:22:45Z
Q1812176,1904-09-20,1905-08-30,2023-02-02T17:56:38Z
Q1814715,1977-09-20,1991-02-01,2023-02-18T22:58:16Z
Q1819131,1849-02-13,1850-08-20,2022-09-28T22:50:10Z
Q1820715,1816-02-08,1830-01-02,2022-12-26T13:17:06Z
Q1820840,2007-06-12,2007-09-25,2023-02-18T22:59:06Z
Q1820840,2007-06-12,2011-06-07,2023-02-18T22:59:06Z
Q1820840,2007-09-25,2011-06-07,2023-02-18T22:59:06Z
Q18226118,2018-02-13,2019-06-11,2023-01-30T15:40:09Z
Q1826012,1849-02-13,1850-08-20,2023-02-02T17:55:21Z
Q1827647,2003-06-10,2005-04-18,2023-02-18T23:00:47Z
Q1833663,1981-06-10,1986-06-03,2022-07-28T17:51:31Z
Q1836843,1888-05-01,1904-07-23,2022-05-06T10:25:06Z
Q1836843,1888-05-02,1904-07-23,2022-05-06T10:25:06Z
Q1839359,1830-10-18,1836-10-17,2022-09-16T18:16:57Z
Q1839359,1830-10-18,1849-02-13,2022-09-16T18:16:57Z
Q1839359,1844-02-29,1836-10-17,2022-09-16T18:16:57Z
Q1839359,1844-02-29,1849-02-13,2022-09-16T18:16:57Z
Q1839798,1913-04-22,1946-07-23,2022-05-08T13:24:16Z
Q1845502,2003-06-10,2011-06-07,2023-02-18T23:02:07Z
