person,start,end
Q1040279,1937-06-08,1937-06-24
Q104369381,2020-12-15,2021-02-15
Q108894465,2021-09-28,2022-02-02
Q11292846,1815-09-21,1822-03-24
Q11307445,1815-09-21,1825-02-17
Q1174716,1839-10-22,1848-10-02
Q11816036,1929-09-17,1937-06-08
Q12013207,1971-05-11,1977-09-20
Q12013388,2007-06-12,2013-05-14
Q12013494,2007-06-12,2014-07-02
Q12500218,1945-11-20,1946-07-23
Q13135866,1815-09-26,1836-04-04
Q13135962,1916-09-19,1922-01-05
Q13136434,1922-01-31,1922-07-24
Q13137052,1962-01-23,1975-09-01
Q13137458,1937-06-08,1946-07-24
Q13137470,1937-06-08,1946-07-23
Q13137685,1928-06-12,1965-02-09
Q13138352,1850-10-07,1865-09-18
Q13428403,1977-09-20,1995-06-13
Q13428921,1878-09-17,1884-10-11
Q13428921,1884-11-17,1887-08-17
Q13428921,1887-09-19,1888-03-27
Q13428921,1888-05-01,1895-10-24
Q13428938,1935-09-18,1946-07-23
Q13435474,1982-09-21,1987-06-23
Q13487753,2013-06-18,2015-06-09
Q13495690,1905-12-06,1906-11-01
Q13495690,1906-12-05,1914-07-24
Q13497607,1875-09-21,1882-12-06
Q13567236,1850-10-07,1856-03-26
Q13573733,1971-05-11,1977-09-20
Q13576313,1991-06-11,1999-06-08
Q1358714,1995-06-13,2000-11-01
Q13637589,2007-06-12,2019-06-11
Q13641749,2019-06-11,2021-01-15
Q13641835,1895-11-28,1903-06-17
Q13648923,1973-09-25,1981-06-10
Q13653571,2004-09-28,2015-06-09
Q13724705,2015-06-09,2019-03-01
Q13725157,1937-06-08,1940-05-10
Q13726662,1954-11-23,1957-05-16
Q13737786,1844-06-20,1849-02-13
Q13771642,1925-09-16,1937-06-08
Q13776902,1922-07-25,1928-05-02
Q13815606,2011-06-07,2015-06-09
Q13815743,1853-06-15,1859-09-19
Q13875096,1853-12-02,1871-09-18
Q13895784,1993-09-07,2007-06-12
Q1390646,1815-09-21,1830-10-18
Q1397450,1999-06-08,2003-06-10
Q1404648,1911-09-19,1921-07-29
Q14255141,1951-09-18,1963-06-05
Q14292566,1977-09-20,1982-01-16
Q14517527,1904-09-20,1916-11-06
Q14517527,1904-09-21,1916-11-06
Q14519531,1948-08-25,1956-11-06
Q14519538,1825-10-18,1838-08-13
Q14520235,2011-06-07,2017-10-25
Q14520235,2011-06-07,2017-10-26
Q1452565,2003-06-10,2015-06-09
Q14630631,1922-09-19,1923-09-18
Q14632486,1916-12-13,1919-09-16
Q14632486,1922-07-25,1934-02-07
Q14633019,1980-09-16,1981-06-10
Q1465250,1999-06-08,2003-06-10
Q14752360,1960-09-20,1967-02-10
Q14851879,1824-10-19,1830-10-18
Q14851959,1831-10-18,1845-01-06
Q14856982,1845-11-04,1849-02-13
Q14856987,1815-09-21,1830-02-05
Q1488358,2003-06-10,2013-02-05
Q14906465,1894-06-05,1904-01-01
Q14906465,1894-06-05,1904-07-23
Q14906465,1894-07-05,1904-01-01
Q14906465,1894-07-05,1904-07-23
Q1494960,1977-09-20,1980-05-16
Q1496632,1827-05-07,1836-12-19
Q15409974,1991-11-05,1995-06-13
Q1541357,1901-05-01,1904-07-23
Q1541357,1901-06-18,1904-07-23
Q15429477,1999-06-08,2000-07-15
Q15555019,1972-05-16,1977-09-20
Q15733509,1966-02-08,1967-03-02
Q15733509,1969-12-09,1987-06-23
Q15869374,1856-10-30,1862-09-15
Q15872701,1848-10-09,1850-08-20
Q15876808,1821-07-03,1848-05-23
Q15876863,1850-10-07,1864-06-18
Q15876882,1840-10-20,1841-12-04
Q15877024,1922-07-25,1935-09-17
Q15877761,1956-11-06,1960-09-20
Q15879185,1946-07-23,1969-09-16
Q15879217,1919-09-17,1937-06-08
Q15880659,1904-09-20,1910-09-20
Q15880659,1904-09-21,1910-09-20
Q15882930,1835-10-20,1844-02-20
Q15882937,1956-11-06,1963-06-05
Q15884002,1888-05-01,1902-12-23
